origin,vol_cbm,weight_ton,partner_longitude,partner_latitude,kecamatan,result
SO360589,0.37433096,0.119504,106.70605890000002,-6.2205558,KARANG TENGAH,21
SO359924,0.295133,0.027308,106.70088,-6.231236,CILEDUG,21
SO359605,0.15015,0.035171999999999995,106.6964341,-6.2194023000000005,KARANG TENGAH,21
SO359537,0.17507,0.09,106.71295,-6.2229295,KARANG TENGAH,21
SO359077,0.3587008,0.0325,106.7104602,-6.2324904000000005,CILEDUG,21
SO360819,0.219152585,0.015234799999999998,106.7010545,-6.2352625999999995,CILEDUG,22
SO360296,0.1717565,0.049113,106.7061602,-6.2376832,CILEDUG,22
SO360267,0.21188393,0.121374,106.7163545,-6.2418568,CILEDUG,22
SO359881,0.14898599999999998,0.029526,106.70777350000002,-6.2388398,CILEDUG,22
SO359872,0.24438249999999997,0.043668,106.6989226,-6.2408293,CILEDUG,22
SO359705,0.19519885,0.056938,106.69679409999999,-6.2439933,CILEDUG,22
SO359700,0.12923495,0.06838999999999999,106.715167,-6.240158,CILEDUG,22
SO359449,0.18279925,0.0458,106.7123673,-6.242642900000001,CILEDUG,22
SO359400,0.172,0.04,106.7044791,-6.2528224,CILEDUG,22
SO359215,0.1229638,0.065089,106.7056801,-6.2527527,CILEDUG,22
SO361042,1.1714598440000001,0.6310370000000001,106.68405759999999,-6.2946434,SERPONG,23
SO360984,0.13713365,0.07062,106.66860600000001,-6.290585,SERPONG,23
SO359886,0.1254885,0.06518399999999999,106.696603,-6.296558999999999,SERPONG,23
SO359859,0.101249125,0.057833,106.67047120000001,-6.2721875,SERPONG UTARA,23
SO359823,0.6328136999999999,0.3998,106.68896559999999,-6.302956099999999,SERPONG,23
SO359021,0.36595775,0.076596,106.69295530000001,-6.2772794,PONDOK AREN,23
SO358923,0.07113624,0.0544,106.70749679999999,-6.2936396,CIPUTAT,23
SO359326,0.822636,0.0968355,106.6664,-6.32805,SETU,24
SO359184,0.1281385,0.051877,106.66577029999999,-6.3044472,SERPONG,24
SO360967,0.00889203,0.0068,106.6711743,-6.0190497,TELUKNAGA,25
SO360957,0.23330313,0.13507,106.64254369999999,-6.0786777999999995,TELUKNAGA,25
SO360846,0.13074725,0.019603,106.6494836,-6.066671599999999,TELUKNAGA,25
SO360422,0.025688,0.006875,106.69526950000001,-6.082168299999999,KOSAMBI,25
SO359906,0.19086981,0.043532999999999995,106.7031727,-6.099042400000001,KALI DERES,25
SO359844,0.025688,0.00093,106.6717437,-6.0196913,TELUKNAGA,25
SO359673,0.10980005,0.035453000000000005,106.71272520000001,-6.1128384,KALI DERES,25
SO359506,0.01670217,5.8e-06,106.7040257,-6.1004357,KALI DERES,25
SO359421,0.22974076,0.09179,106.723,-6.11388,KALI DERES,25
SO359353,0.025688,0.006429000000000001,106.70575420000002,-6.122351999999999,KALI DERES,25
SO359222,0.043195,0.017329,106.71255259999998,-6.1120816,KALI DERES,25
